,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
A-C,1.41,1.0,1.1,0.0,-6.0,2.5,1.0,0.01,2.0,-5.0,0.1,0.022000000000000002,4.0,0.5,-3.0,0.33,1.0,0.45,-1.2,195.0,2.0,1.6,4.0,2.0,0.0,2.7,-7.7,-0.35,-3.4,2.0,-5.0,9.0,5.0,-22.0,11.0,-1.9,0.4,-1.7,0.1,0.75,2.0,-2.0,0.49,21.5,0.0,0.3,0.3,0.0,-2.0,2.0,98.0,0.9,1.0,5.7,-0.38,-2.0,1.0,1.39,0.83,0.006999999999999999,0.04,0.0,2.0,2.0,-1.0,-1.0,-1.0,-5.0,1.0,0.0,-0.51,6.0,0.0,1.2,3.8,-1.5,-5.0,0.0,0.1,1.0,0.3,1.1,2.1,0.013000000000000001,0.0,-1.0,8.0,0.0,-0.4,38.6,1.7
A-D,1.31,1.1,1.3,0.025,-3.0,-6.5,6.0,-2.43,4.0,2.0,0.8,0.025,0.0,-0.3,0.0,-0.73,-5.0,-2.38,-0.2,126.0,-1.0,1.3,3.0,1.0,4.0,0.8,-6.9,0.05,-1.6,0.0,1.0,5.0,0.0,-4.0,9.0,1.0,0.2,-0.6,0.7,0.56,0.0,0.0,1.23,18.2,0.0,-0.3,1.5,0.0,-4.0,-1.0,33.0,1.1,0.0,4.9,0.07,-1.0,3.0,2.37,-7.73,0.09,-0.08,0.033,0.0,-2.0,-3.0,-2.0,0.0,-1.0,0.5,-2.0,0.04,-20.0,0.0,1.0,-2.8,0.2,0.0,-2.0,0.8,-1.0,0.7,1.6,1.6,0.055,0.0,-3.0,-1.0,0.0,-1.0,-10.7,0.6
A-E,1.34,1.2,1.8,0.047,-2.0,-7.0,7.0,-1.66,4.0,3.0,0.3,0.095,0.0,0.0,0.0,-0.12,-5.0,-0.47,-0.3,107.0,1.0,1.6,12.0,1.0,8.0,0.8,-6.7,0.7,-0.7,1.0,3.0,5.0,2.0,-3.0,10.0,1.3,1.8,-0.7,2.0,0.63,0.0,0.0,0.96,18.1,1.0,-0.1,1.7,0.0,-2.0,0.0,39.0,2.2,0.0,5.2,0.74,0.0,4.0,2.46,-6.26,0.1,0.08,0.045,2.0,-2.0,-1.0,-1.0,-1.0,0.0,0.1,-3.0,0.03,-10.0,0.0,1.2,-1.0,1.7,0.0,-1.0,0.3,-1.0,2.3,1.6,0.9,0.068,9.0,-2.0,4.0,-2.0,-5.7,-10.7,1.0
A-F,0.94,0.2,0.1,0.023,-7.0,0.0,-24.0,-2.14,2.0,-16.0,0.1,0.036000000000000004,-23.0,-2.3,-4.0,-0.76,-1.0,-2.42,-3.1,113.0,0.0,0.2,-8.0,2.0,-12.0,0.3,-7.9,-0.18,-3.2,-2.0,-13.0,7.0,-4.0,-4.0,10.0,-2.4,0.4,-3.2,0.1,1.16,-1.0,-4.0,0.79,11.9,-1.0,-2.6,0.1,0.0,-6.0,0.0,87.0,0.3,-2.0,2.9,-0.19,-3.0,1.0,3.23,-1.9,0.05,-0.25,0.015,-1.0,-20.0,-3.0,-2.0,-3.0,-9.0,0.4,0.0,-0.47,-19.0,-2.0,-1.6,1.9,0.6,-1.0,-2.0,0.3,-3.0,0.3,0.1,0.2,0.031,0.0,-4.0,-18.0,2.0,-0.2,18.9,0.3
A-G,1.11,3.0,3.0,0.086,-1.0,0.5,5.0,-0.02,5.0,-4.0,4.1,0.075,2.0,0.5,1.0,0.27,1.0,0.63,0.8,60.0,0.0,3.7,-3.0,1.0,14.0,4.3,-5.8,-0.4,-0.5,1.0,-5.0,9.0,5.0,9.0,8.0,1.2,2.5,0.8,7.6,0.83,0.0,1.0,1.11,19.9,0.0,0.6,3.7,3.0,0.0,1.0,96.0,3.5,1.0,5.7,-0.41,0.0,3.0,0.91,-4.0,0.177,0.11,0.064,1.0,1.0,0.0,0.0,1.0,12.0,5.5,-1.0,0.19,4.0,1.0,1.4,0.9,0.6,1.0,-1.0,2.5,0.0,4.3,0.4,3.4,0.067,0.0,0.0,5.0,-1.0,1.8,-6.0,2.8
A-H,1.17,0.4,0.8,0.006999999999999999,-6.0,-3.0,-2.0,-2.48,2.0,-3.0,0.6,0.009000000000000001,-6.0,-0.8,-3.0,-1.42,-3.0,-3.01,-1.6,86.0,0.0,0.3,-10.0,2.0,2.0,0.3,-7.7,-0.18,-3.1,-2.0,-4.0,10.0,-2.0,-11.0,11.0,-2.1,0.1,-2.1,1.3,0.79,-1.0,-1.0,1.04,11.5,0.0,-1.0,1.0,0.0,-4.0,-2.0,71.0,0.2,-1.0,4.4,-0.2,-2.0,3.0,2.17,-5.12,0.037000000000000005,-0.11,0.011000000000000001,-1.0,-5.0,-2.0,-2.0,-2.0,-4.0,0.1,0.0,-0.21,-19.0,-3.0,-1.4,0.2,-0.6,-2.0,-2.0,0.1,-2.0,0.6,0.1,0.6,0.048,0.0,-3.0,-30.0,2.0,-0.2,0.2,0.2
A-I,1.08,1.2,0.2,0.028999999999999998,-4.0,0.0,-1.0,-0.08,2.0,-1.0,0.5,0.039,-6.0,-0.8,-1.0,-0.97,0.0,-1.72,-0.4,94.0,1.0,0.6,-17.0,2.0,-8.0,0.6,-7.1,-0.25,-2.2,-3.0,1.0,8.0,-6.0,-2.0,9.0,-1.8,0.6,0.1,1.2,1.11,-2.0,-1.0,0.51,17.2,0.0,-0.8,0.4,0.0,-2.0,0.0,91.0,0.3,-1.0,4.4,-0.26,-2.0,2.0,2.69,-1.42,0.077,-0.1,0.021,1.0,-5.0,-2.0,-1.0,0.0,-7.0,0.4,0.0,-0.45,-5.0,0.0,0.3,5.1,1.7,0.0,-2.0,2.0,-1.0,0.2,0.8,1.6,0.053,0.0,-3.0,-2.0,1.0,-0.8,23.0,0.9
A-K,1.29,1.2,0.8,0.036000000000000004,-6.0,-5.5,6.0,-1.99,3.0,1.0,0.3,0.0,-6.0,-0.4,-2.0,-0.38,-7.0,-1.22,-1.0,106.0,1.0,1.3,2.0,2.0,4.0,0.8,-6.7,0.55,-0.9,1.0,-1.0,5.0,1.0,-6.0,10.0,-1.9,0.8,-1.9,0.1,0.65,0.0,-1.0,1.06,17.1,0.0,-0.4,1.0,0.0,-2.0,1.0,35.0,1.8,-1.0,4.8,0.6,-1.0,3.0,2.96,-6.17,0.096,-0.07,0.032,1.0,-10.0,-1.0,-1.0,-1.0,-3.0,0.9,-1.0,-0.2,-10.0,-2.0,-0.2,-1.4,1.4,0.0,-2.0,0.9,-1.0,0.8,1.0,1.2,0.068,6.6,-1.0,1.0,0.0,-1.8,-10.9,0.4
A-L,1.19,2.1,0.7,0.031,-5.0,0.0,-10.0,-0.7,2.0,-3.0,1.1,0.028999999999999998,-19.0,-1.2,-3.0,-0.39,-1.0,-1.09,-1.7,96.0,2.0,1.6,-6.0,2.0,-6.0,0.8,-6.7,0.51,-3.3,0.0,1.0,8.0,-2.0,-7.0,11.0,-2.3,1.7,-1.3,2.7,0.97,0.0,-2.0,0.57,13.6,0.0,-1.4,0.3,0.0,-4.0,0.0,93.0,1.4,-1.0,4.0,0.54,-2.0,2.0,2.76,-0.71,0.055999999999999994,0.2,0.043,3.0,-18.0,-2.0,-1.0,-1.0,-7.0,0.5,0.0,-0.45,-7.0,-2.0,-0.2,4.5,1.3,-2.0,-2.0,2.3,-2.0,2.0,2.9,2.4,0.05,5.0,-3.0,-14.0,1.0,0.5,20.9,1.5
A-M,1.2,0.7,1.1,0.07400000000000001,-4.0,0.0,-6.0,-0.84,2.0,-1.0,0.1,0.061,-4.0,-0.7,-2.0,-0.04,-1.0,0.16,-0.8,84.0,2.0,0.5,-2.0,2.0,1.0,0.2,-8.0,0.39,-1.5,1.0,1.0,9.0,2.0,2.0,11.0,-2.0,0.5,-0.2,0.4,0.97,0.0,-1.0,0.53,16.2,0.0,-0.8,0.1,0.0,-2.0,0.0,89.0,0.8,-1.0,4.5,0.43,0.0,3.0,2.42,-1.44,0.081,0.15,0.01,4.0,-3.0,-1.0,-1.0,-1.0,1.0,0.5,1.0,-0.47,-9.0,-1.0,-0.2,3.9,1.0,-2.0,-1.0,0.4,-1.0,0.1,0.7,0.4,0.087,5.0,-2.0,-2.0,2.0,0.2,17.8,0.5
